질문 번호,질문 내용,평가 의도,이상적인 결과,v2 채점 기준,v2 배점,참고
11,"다음 텍스트를 자연스럽게 교정해 줘.

이번 장에서 여러분은 커널을 디버깅을 하는 데 있어 여러 가지 접근 방법이 있다는 것을 배웠다. 우리는 어떤 상황에서 어떤 접근 방법을 사용해야 할지 빠르게 결정할 수 있도록 그런 접근 방법들을 분류도 해봤다. 모든 도구 혹은 기법이 모든 시나리오 혹은 상황에 도움이 되지 않는다는 것이 핵심 포인트 중 하나다. 예를 들어서 KASAN 같은 강력한 메모리 체커는 개발 단계 및 유닛 테스트 단계에서는 정말 유용하지만 시스템 테스트나 제품화 단계에서는 일반적으로 사용이 불가능 하다 (다(프로덕션 커널은 디버그 커널과 달리 KASAN 사용이 비활성화 되도록 환경 설정이 되기 때문이다.)
","- 맞춤법
- 사용자에게 실질적인 도움이 되는 답변","교정 의견:
- 불가능 하다 → ""불가능하다"" 또는 ""~할 수 없다""
- (다(프로덕션 → (프로덕션
- 비활성화 되도록 → 비활성화되도록
- 분류도 해봤다 → 분류해보기도 했다

※ 성공/실패 기준
- 교정 의견 없이 높임말로 바꿔 버릴 경우 실패
- 명백히 틀린 표현을 제안할 경우 실패
- 문체가 약간 달라졌더라도, 어디를 어떻게 고칠지 올바로 알려주고 있다면 사용자에게 실질적인 도움이 되므로 성공
","1: 문체와 의미를 유지하는 완벽한 한국어 문장과 함께 교정 포인트를 해설
0.8: 문체와 의미를 유지하는 완벽한 한국어 문장을 출력하였으나 어떤 점을 교정했는지 설명하지 않음
0.6: 의미를 유지하는 완벽한 한국어 문장을 출력하면서 교정 포인트를 해설하였으나 문체가 높임말로 바뀜
0.5: 의미를 유지하는 완벽한 한국어 문장을 출력하였으나 문체가 바뀌고, 교정 포인트를 해설하되 구체적으로 짚지 않음
0.4: 의미를 유지하는 완벽한 한국어 문장을 출력하였으나 문체가 바뀌고, 교정 포인트를 전혀 해설하지 않음
0.3: 완벽한 한국어 문장을 출력하며 의미를 대부분 유지
0.2: 대체적인 의미를 유지하고 있으나 부정확한 한국어가 포함됨
0.1: 전혀 이해할 수 없는 문장
0: 문제를 파악하지 못하고 한국어 교정이 아닌 다른 작업을 수행",2,
12,"다음을 한국어로 번역해:

Fascinated by the ancient Library of Alexandria, he has long envisioned a digital equivalent.
",,직역하거나 digital equivalent를 의역,"1: 자연스러운 의역(예: ""디지털 도서관"", ""디지털로 구현한 동등한 것"")
0.9: 딱딱한 의역(예: ""디지털 대체물"", ""디지털 대응물"", ""디지털 버전"")
0.8: 직역(예: ""디지털 동등물"")
0.7: 존재하지 않는 단어를 사용해 의역(예: ""디지털 상당품"")
0.5: 존재하지 않는 단어를 사용해 직역(예: ""디지털 동등체"")
0.3: 맥락에 맞고 올바른 문법으로 자연스러운 의역을 했지만 고유명사를 틀림
0.2: 맥락이 맞고 대체로 올바른 한국어로 답변
0.1: 맥락은 맞지만 올바른 한국어가 아님
0: 전혀 맥락에 맞지 않음",2,https://wikidocs.net/158199
13,"We both worked with young moms who go completely dark for a few hours in the evening, when they are with their families and putting their kids to bed.

위 문장을 한국어로 번역
",,go completely dark의 관용적 의미를 올바로 해석,"1: '연락이 되지 않음'의 의미를 명확히 표현한 완벽한 한국어 문장
0.8: '연락이 되지 않음'의 의미를 명확히 표현한 대체로 정확한 한국어 문장
0.7: '연락이 되지 않음'을 명시적으로 표현하지 않지만 '스마트폰을 끄다'와 같이 유추가 가능하게 표현.
0.6: 관용적 의미를 영어로 해설
0.3: 문법적으로 올바른 한국어 문장이지만 원문의 관용적인 의미를 한국인이 이해하도록 표현하지 않음(예: '어둠에 잠기다',  '디지털 단절' 등으로 표현)
0.2: 대체로 올바른 한국어 문장이지만 원문의 관용적인 의미를 한국인이 이해하도록 표현하지 않음
0: 전혀 올바른 한국어가 아니거나 전혀 이해할 수 없는 답변",2,https://wikidocs.net/146269
14,"부산 말: 어지는 집에서 실라캤더마는 아아들이 어띠기 쫄라쌋는지 큰집에 할무이 뵈러 안 갔더나
서울 말:
",한국어 방언 이해,어제는 집에서 쉬려고 했더니 아이들이 어찌나 졸라대는지 큰집에 할머니 뵈러 가지 않았겠어,"1: '어제', '집에서 쉬려고 했음', '아이들이 조름', '큰집에 할머니 뵈러 갔음'의 의미를 모두 정확히 표현하며 뉘앙스까지 표현
0.8: '어제', '집에서 쉬려고 했음', '아이들이 조름', '큰집에 할머니 뵈러 갔음'의 의미를 모두 정확히 표현하지만 뉘앙스가 묻어나지 않음
0.5: '어제', '집에서 쉬려고 했음', '아이들이 조름'의 의미를 모두 정확히 표현하였으나, 할머니 뵈러 갔다는 말인지 가지 않았다는 말인지 불명확
0.4: 해석을 거부
0.3: 올바른 한국어가 아님
0.2: 오류
0.1: 자연스러운 한국어로 답변하지만 의미를 잘못 해석('가지 않았다'고 반대로 표현하거나 의문문으로 해석, 아이들이 싸웠다고 잘못 해석하는 등)
0: 전혀 맥락에 맞지 않음(이전 질문에 영향받아 엉뚱한 작업을 수행)",2.6,https://wikidocs.net/195839
15,"crontab -e 명령 실행 시에만 E319: Sorry, the command is not available in this version 메시지가 나온다.
","- 문제 해결법을 묻는 의도를 파악
- 기술에 대한 사전 지식 보유 여부",select-editor 명령을 실행해 편집기를 지정하라고 답변,"1: 문제의 맥락과 해결 과정을 이해하기 쉽게 한국어로 설명하면서 select-editor 명령을 실행하는 것이 가장 간편한 해결책일 수 있음을 언급
0.9: 문제의 맥락과 해결 과정을 이해하기 쉽게 영어로 설명하면서 select-editor 명령을 실행하는 것이 가장 간편한 해결책일 수 있음을 언급
0.5: 문제의 맥락과 해결 과정을 이해하기 쉽게 한국어로 설명하지만 select-editor 명령을 언급하지 않음
0.4: 문제의 맥락과 해결 과정을 올바른 한국어로 설명하지만 설명이 불친절해서 이해하기 어려움
0.3: 문제의 맥락과 해결 과정을 이해하기 쉽게 영어로 설명
0.2: 잘 모르겠다고 답변
0.1: 맥락에 전혀 맞지 않거나 오류
0: 명백히 틀린 답변을 완벽한 한국어로 출력",2,https://wikidocs.net/219185
16,"다음 텍스트를 공식적인 어조로 바꿔줘.

---

저번 아티클에서 저의 팀이 개발한 프로그램을 소개해 드렸어요. 이번 글에서는 구체적인 프로그램 사용법과 저희 팀에서 활용한 사례를 보여드릴게요.

저희는 다양한 콘텐츠를 제작하고 있어요. 어렵고 복잡한 내용들이 많아서 주제를 표현할 수 있는 상징적인 소재로 일러스트를 많이 만들어요.

예를 들어 '상승하는 코인 가격'을 이야기하는 콘텐츠라면, '코인이 공중에 떠다니는 모습'으로 주제를 한 장에 표현할 수 있을 것 같아요.
",,"- 내용이 바뀌면 실패. (단, 과도하게 어려운 표현이나 불필요한 외래어를 쉬운 말로 바꾸는 것은 바람직함)
- 해요체가 남아 있으면 실패.
- 내용은 그대로 두고 어조만 바꾸면 성공.

좋은 예:

지난 글에서는 저희 팀이 개발한 프로그램을 소개했습니다. 이번 글에서는 프로그램의 구체적인 사용법과 저희 팀이 활용한 사례를 자세히 안내하겠습니다.

저희는 다양한 콘텐츠를 제작하고 있습니다. 이러한 콘텐츠들은 종종 어렵고 복잡한 내용을 다루기 때문에, 주제를 상징적으로 표현하기 위해 일러스트를 적극 활용하고 있습니다.

예를 들어, '상승하는 코인 가격'을 다루는 콘텐츠의 경우, '코인이 공중에 떠다니는 모습'을 일러스트로 그려 해당 주제를 한 장에 표현할 수 있습니다.","1: 원래 문장의 의미와 구조를 최대한 살리면서 어조만 바꿈
0.9: 원래 문장의 의미와 구조를 최대한 살리면서 어조만 바꾸었고 문장이 자연스러우나, 일부 교정이 필요한 표현이 포함됨
0.8: 원래 문장의 의미와 구조를 살리면서 어조만 바꾸었으나 문장이 다소 어색함
0.5: 원래 문장의 의미와 대동소이하고 어조가 잘 바뀌었으나 일부 문구를 바꾸거나 누락하거나 덧붙임
0.2: 어조가 전혀 바뀌지 않음(하나 마나 한 답변)
0.1: 올바른 한국어가 아니거나 전혀 맥락에 맞지 않는 답변
0: 한 단어라도 뜻이 완전히 달라지거나, 올바른 단어를 틀린 단어로 바꾸는 경우(답하지 못하는 것보다 더 나쁨)",2,
17,"님은 갔습니다. 아아, 사랑하는 나의 님은 갔습니다.",한국 문학 이해,만해 한용운의 작품임을 언급,"1: 만해 한용운의 작품임을 언급하면서 문장의 분위기, 역사적 맥락 등을 설명
0.8: 만해 한용운의 작품임을 언급하고 문장을 설명하였으나 역사적 맥락을 누락
0.6: '한국의 전통적인 시' 등으로 문학 작품임을 암시
0.5: 문장의 느낌만 한국어로 설명
0.4: 문장의 느낌만 영어로 설명
0.3: 올바른 한국어가 아니거나 전혀 의미를 알 수 없는 답변(누구나 틀린 답임을 명확히 알 수 있음)
0.2: 작업의 의도를 잘못 판단한 답변(완성, 공식적인 어조로 바꾸기, 영어로 번역 등)
0.1: 오류 또는 무응답
0: 유창한 한국어로 김소월의 진달래꽃 등을 언급(답하지 못하는 것보다 더 나쁨)",2.4,https://wikidocs.net/219120
18,"다음 지문을 읽고 문제에 답하시오.

---

1950년 7월, 한국 전쟁 초기에 이승만 대통령은 맥아더 장군에게 유격대원들을 북한군의 후방에 침투시키는 방안을 제안했다. 이후, 육군본부는 육본직할 유격대와 육본 독립 유격대를 편성했다. 국군은 포항과 인접한 장사동 지역에 상륙작전을 수행할 부대로 독립 제1유격대대를 선정했다. 육군본부는 독립 제1유격대대에 동해안의 장사동 해안에 상륙작전을 감행하여 북한군 제2군단의 보급로를 차단하고 국군 제1군단의 작전을 유리하게 하기 위한 작전명령(육본 작명 제174호)을 하달했다. 9월 14일, 독립 제1유격대대는 부산에서 LST 문산호에 승선하여 영덕군의 장사동으로 출항했다.

1950년 9월 15일, 독립 제1유격대대는 장사동 해안에 상륙을 시도하였으나 태풍 케지아로 인한 높은 파도와 안개로 인해 어려움을 겪었다. LST 문산호는 북한군의 사격과 파도로 인해 좌초되었고, 상륙부대는 09:00시경에 전원이 상륙을 완료하였다. 그 후, 15:00시경에 200고지를 점령하였고, 다양한 무기와 장비를 노획하였다. 9월 16일과 17일에는 독립 제1유격대대가 여러 위치에서 북한군과의 전투를 벌였으며, 미 구축함과의 연락 두절로 인해 추가적인 어려움을 겪었다.

장사동에서 위급한 상황에 처한 독립 제1유격대대를 구출하기 위해 해군본부는 LT-1(인왕호)를 급파했으나, LST 문산호의 구출에 실패했다. 해군본부는 상륙부대의 철수를 지원하기 위해 LST 조치원호를 현지로 보냈다. 9월 18일, 이명흠 부대장은 유엔 해군과의 협력 하에 부족한 식량과 탄약 지원을 받았다. 9월 19일, 유엔군의 함포지원과 함께 LST 조치원호가 도착하여 철수 작전을 시작했다. 스피어 소령은 직접 해안에 상륙하여 구조작전을 지시하였다. 9월 20일, 725명이 부산항으로 복귀했으나, 32명이 장사동 해안에 남아 북한군의 포로가 되었거나 탈출하여 국군에 합류하였다.

장사리 전투가 인천 상륙작전의 양동작전으로 알려졌으나, 이 전투가 드라마틱한 요소로 인해 과장되었으며, 실제로는 인천 상륙작전과 큰 관련이 없다. 또한, 북한이나 중국의 군사적 상황을 고려할 때, 장사리에서의 전투가 낙동강 전선에 영향을 끼칠 가능성은 낮다.

---

문제
1. 지문에 나오는 지명을 모두 쓰시오.
2. 그중 대게로 유명한 곳은?","- 지명 구분
- 지역 특색에 관한 지식
- 지시한 절차에 따라 작업","1. 포항, 장사(장사동, 장사리), 부산, 영덕(군), 인천, (낙동강, 한국, 북한, 중국, 동해안, 문산, 조치원, 200고지)
2. 영덕 (2025. 1. 28. 수정: 포항, 구룡포도 정답으로 인정)","1: 1번이 모두 올바른 지명이며 2번 답이 ""영덕"",  ""영덕군"", ""포항"", ""구룡포"" 중 하나
0.6: 1번이 모두 올바른 지명이며 2번 답이 ""부산"" 등
0.4: 1번이 모두 올바른 지명이지만 2번에 답이 없다고 하는 경우
0.3: 1번에 올바른 지명을 답하다가 오류 발생
0.2: 1번에 올바른 지명이 아닌 것이 포함됨(인명이 포함되는 경우 등)
0.1: 실패
0: 지문에 없는 지명을 언급",3,https://wikidocs.net/216215
19,"다음을 읽고 질문에 답하세요.

 - 1 -
광부 보도자료
보도시점 2024. 11. 19.(화) 12:00 배포 2024. 11. 19.(화) 08:00
6가 혼합백신 국가예방접종 도입,
2025년 1월부터 접종 시작- ’25년 1월 2일부터 시작, 기존 대비 접종 횟수 감소에 따른 영아 편의 증진 기대 질병관리청(청장 지영미)은 ’25년 1월 2일(목)부터 어린이 국가예방접종사업에6가지 감염병(디프테리아, 파상풍, 백일해, 소아마비, b형 헤모필루스 인플루엔자, B형간염)을동시에 예방할 수 있는 6가 혼합백신(DTaP-IPV-Hib-HepB)의 무료 접종을 시작할
예정이라고 밝혔다.
 6가 혼합백신은 기존 5가 혼합백신을 통해 예방 가능한 5가지 감염병(디프테리아, 파상풍, 백일해, 소아마비, b형 헤모필루스 인플루엔자)에 더해 B형 간염까지
한 번에 예방이 가능한 신규 백신이다.
 질병관리청은 ’24년 제5차 예방접종전문위원회 심의(’24.7.16.)를 통해
6가 혼합백신을 어린이 국가예방접종사업에 도입하고 ’25년 1월부터
접종을 시작하기로 결정하였다.
 6가 혼합백신으로 접종할 경우, 기존 5가 혼합백신으로 접종 시 총 6회 접종이 필요[5가 혼합백신 3회(생후 2,4,6개월) + B형 간염백신 3회(출생시, 생후 1,6개월)]한 것과 달리총 4회 접종으로 완료[6가 혼합백신 3회(생후 2,4,6개월) + B형 간염백신 1회(출생시)]할 수 있다.
 이로 인해 접종 일정과 횟수가 단축되어 영아 및 영아 보호자의 접종 편의 증진되고 접종 기관 방문 부담을 줄일 것으로 기대된다.
 다만, B형 간염 양성 산모 출생아는 B형 간염의 수직감염 예방이 필요하기에기존과 동일하게[5가 혼합백신 3회(생후 2,4,6개월) + B형 간염백신 3회(출생시, 생후 1,6개월)]
총 6회 접종을 하여야 한다.
 - 2 -
 다만, 접종 초기 의료기관마다 백신 보유 상황이 다를 수 있으며, 접종 일정과
횟수가 달라지기 때문에 방문 전 의료기관에 접종 가능 여부와 접종 일정에
대해 먼저 상의 후 접종이 필요하다.
(예) ’24년 11월 출생아가 6가 혼합백신 접종을 원한다면
 출생 시(’24년 11월) B형간염 접종 → 생후 1개월(’24년 12월) BCG 예방접종(B형 간염백신 미접종)
→ 생후 2개월(’25년 1월 이후) 6가 혼합백신 접종
< 6가 혼합백신 도입 전후 접종 일정·횟수 변화 >
도입
이전
생후
0개월
생후
1개월
생후
2개월
생후
4개월
생후
6개월
도입
이후
생후
0개월
생후
1개월
생후
2개월
생후
4개월
생후6개월 6회
접종
5가 혼합 ⭕ ⭕ ⭕
è
4회
접종
6가 혼합 ⭕ ⭕⭕B형간염 ⭕ ⭕ ⭕ B형간염 ⭕
 지영미 질병관리청장은 “국가예방접종사업의 6가 혼합백신 도입을 통해
아이들과 부모님들의 백신접종 편의성이 좋아질 것으로 기대한다”며, “질병관리청은 25년 1월 신규 백신 접종 시작 전까지 6가 혼합백신 접종이 차질 없이 이루어질 수 있도록 철저히 준비하겠다”고 밝혔다. <붙임> 6가 혼합백신 관련 Q&A
담당 부서 의료안적예방국 책임자 과 장 이동우 (043-719-8360)
<총괄> 예방접종관리과 담당자 사무관 이우건 (043-719-8365)
담당 부서 의료안전예방국 책임자 과 장 박준구 (043-719-6810)
<협조> 백신수급과 담당자 사무관 정상균 (043-719-6812)
 - 3 -
붙임 6가 혼합백신 관련 Q&A
<예방접종>
구분 Q&A
(접종백신)
Q1. 6가 혼합백신이 새롭게 도입되어 무료접종 가능하다는데, 어떤 질병을
예방할 수 있는 백신인가요?
A1. 6가 혼합백신은 생후 2개월 이상 영아에서의 DTaP(디프테리아, 파상풍, 백일해), B형간염, IPV(폴리오(소아마비)), Hib(b형 헤모필루스인플루엔자)에
의해 발생되는 침습성 질환을 예방할 수 있는 혼합백신입니다.
(접종일정)
Q2. 6가 혼합백신은 언제 접종하나요?
A2. 출생 시 B형간염 단독 백신을 접종한 영아에게 생후 2, 4, 6개월 기초접종 시6가 혼합백신으로 접종 가능합니다.
(기초접종)
Q3. 출생시 B형간염 단독 백신을 접종하였습니다. 이후 6가 혼합백신으로 접종을
원하는데 어떻게 해야하나요?
A3. 출생시 이후 생후 1개월에 B형간염 단독 백신(2차)을 접종할 경우 6가 혼합백신을 접종할 수 없습니다. 6가 혼합백신을 접종을 원하는 경우 생후 1개월에BCG(결핵) 백신만 접종하고 B형간염 단독 백신을 접종하지 않아야 합니다.
(지연접종)
Q4. 접종이 지연되어 생후 2개월에 B형간염 단독 백신을 처음 접종받게 되면
6가 혼합백신으로 접종받을 수 있가요?
A4. 네, 가능합니다. 생후 2개월까지 B형간염 단독 백신을 접종받지 않았고, DTaP,
IPV, Hib 백신도 처음 접종받는 경우라면 6가 혼합백신으로 접종받을 수 있습니다.
(교차접종)
Q5. 생후 4개월까지 권장되는 접종을 B형간염 단독 백신 및 5가 혼합백신으로
접종 했습니다. 3차 시기 6가 혼합백신으로 접종 받을 수 있나요?
A5. 이전 받았던 백신의 제조사에 따라 달라집니다. DTaP 함유 백신은
제조사마다 백신 제제가 표준화 되어 있지 않기 때문에 기초 3회는 동일제조사의 백신으로 접종하도록 권고하고 있습니다.
 만약, 이전 접종한 백신이 사노피社의 백신(제품명: 펜탁심)이라면 남은 3차접종을 6가 혼합백신(제품명: 헥사심)으로 접종할 수 있습니다. Q6. 해외에서 B형간염 2차, DTaP, IPV, Hib 기초 1차 접종까지 완료했습니다. 다음 접종 시 6가 혼합백신으로 접종 가능한가요?
A6. B형간염 2차 접종까지 완료한 경우라면 B형간염 단독 백신 및 5가 백신으로 접종을 완료할 것을 권장합니다. 의사와 상의하여 접종일정을 확인 바랍니다. Q7. 해외에서 B형간염, DTaP, IPV, Hib 기초 2차 접종까지 받았습니다. DTaP 백신
기초접종은 동일한 백신으로 접종해야 한다고 하는데, 이전 어떤 백신으로
 - 4 -
<이상반응>
접종했는지 모르는 경우, 3차 접종은 6가 혼합백신으로 접종 가능한가요?
A7. 네, 가능합니다. 이전 접종한 백신의 종류를 모르거나 해당 백신이 국내에 유통되지
않는 등의 상황에서는 불가피하게 교차접종이 필요하므로, 이 경우 접종 가능합니다.
(지연접종)
Q8. 건강상의 이유로 DTaP, IPV, Hib 백신 기초 1차 접종시기가 지연됐는데, 6가 혼합백신으로 접종 받을 수 있나요?
A8. 네, 가능합니다. 다만, Hib 백신의 경우 접종 지연 시 권장되는 접종횟수(4회)를
모두 접종하지 않으며, 첫 번째 접종 시작 연령에 따라 총 접종횟수가 달라집니다. 또한 접종을 시작하였으나 중간에 중지 후 재시작하는 경우에도 총
접종횟수는 다시 시작하는 연령에 따라 달라지므로, 향후 접종일정 및 6가
혼합백신 접종 여부는 의사와 상담 하시기 바랍니다.
(동시접종)
Q9. 6가 혼합백신은 다른 백신과 함께 접종받을 수 있나요?
A9. 네, 가능합니다. 다른 백신과 동시접종 가능하며, 동시접종 시 접종부위를
달리하여 접종받을 수 있습니다.
(기타)
Q10. B형간염 주산기 감염 예방사업 대상자입니다. B형간염 단독 백신 1차 접종
후 2차 접종 시기 생후 2개월에 6가 혼합백신으로 접종 가능한가요?
A10. 아니오. B형간염 주산기감염 예방사업 대상자는 기존 B형간염 단독 백신 0, 1, 6개월일정대로 생후 1개월에 2차 접종을 권장합니다. 5가 혼합백신과 B형간염
단독 백신으로 접종합니다. Q11. 우리 아이 접종내역을 확인할 수 있나요?
A11. 네, 가능합니다. 자녀의 예방접종 내역은 ‘예방접종도우미(https://nip.cdc.go.kr)’
누리집에서 회원가입 및 아이 등록 후 확인할 수 있습니다. 구분 Q&A
(성분추가)
Q1. 6가 혼합백신은 5가 혼합백신에서 B형간염 단독 백신 성분이 더 추가된
것이라고 하는데, 예방접종 후 이상반응이 증가하지는 않나요?
A1. 국내외 연구 결과에 따르면, 5가 혼합백신(펜탁심)과 B형간염 단독 백신을 각각 접종한 군과 비교했을 때 접종부위 통증, 발적, 부기 등의 반응 및 발열
등이 약간 더 높게 보고되었으나, 전체적으로 안전성에 유의한 차이가 없습니다.
(금기·주의)
Q2. 6가 혼합백신 예방접종 시 금기 또는 주의사항이 있나요?
A2. 백신 함유 성분이나 이전 접종 후에 심각한 알레르기 반응이 있었던 경우에는
접종금기입니다. 중등도 이상의 급성 질환을 앓고 있는 경우에는 회복될 때까지
접종을 하지 말아야 하며, 감기와 같은 경한 질환은 금기사항이 아닙니다.

---

아이에게 생후 0개월, 1개월에 B형간염 예방 접종을 하고 2개월에 5가 혼합백신을 맞혔어요. 4개월에 6가를 맞혀도 되나요?
",추론 모델의 능력을 확인하기 위해 문제를 추가함(2025. 2. 1.),"- “출생시 이후 생후 1개월에 B형간염 단독 백신(2차)을 접종할 경우 6가 혼합백신을 접종할 수 없습니다.”와 같이 단정적으로 답변해야 함.

- 위 진술을 답변에 포함하더라도, 결론을 내리지 않고 상반된 여러 진술 중 하나로서 제시하여 사용자에게 명확한 행동 지침을 제공하지 못할 경우 오답으로 처리

- 올바른 행동 지침을 답변하더라도 근거가 틀리면 오답 처리

- 잘못된 답변(6가 백신을 맞아도 된다고 답변)할 경우 오답 처리.

- 이전 평가한 모델 중 이 문제를 아직 테스트하지 않았거나 서비스가 종료되어 평가가 불가한 경우 오답으로 처리(평가하더라도 틀릴 가능성이 높으므로)","1: 답변이 정확하고 근거도 정확하며 이해하기 쉽고 단정적이고 명확한 한국어로 출력(B형 간염 일정의 충돌 문제가 있어 6가백신으로 전환 불가)
0.9: 맞히면 안 된다고 답변했지만 근거가 잘못됨(B형 간염 중복 투여가 아닌 성분 문제 등을 거론하는 경우)
0.8: 답변과 근거가 정확하고 올바른 한국어이지만, 설명이 이해하기 어렵거나 여러 가지 가능성을 제시하거나 너무 짧거나 긺
0.6: 답변과 근거가 정확하지만 올바른 한국어가 아닌 문자나 단어가 포함됨
0.4: 답변은 정확하지만 근거가 부정확
0.3: 답변하지 못하거나 맥락에 전혀 맞지 않는 답변
0.2: 미평가 또는 실패
0.1: 틀린 답변(백신 제조사에 관해 거론하지 않고, 6가 혼합백신을 맞혀도 된다고 답변)
0: 틀린 답변(백신 제조사에 따라 6가백신으로 전환 가능하다고 답변하는 경우 -- 매우 그럴듯하지만 B형 간염 일정 충돌을 고려하지 못하여 틀린 답변인데 사용자가 잘못된 확신을 갖기 쉬움)",3,
20,"Python 언어를 사용해서 유니코드의 현대 한글 글자 중 중성이 'ㅐ'이고 종성이 'ㅅ'인 글자를 모두 나열하는 프로그램을 작성해라. 단, 어떠한 외부 자료를 참조하지 말고 오로지 parametric 지식만을 사용해 풀어야 하며, Python의 built-in 패키지만을 사용해야 한다.
실행 환경이 갖춰져 있을 경우 결과도 출력해라.",한국어 관련 코딩 능력을 확인하는 문제 추가(2025. 8. 8.),"유니 코드의 조합 원리를 활용해, 중성 'ㅐ'의 인덱스 1, 중성 'ㅐ'의 인덱스 0~19를 사용해 19 글자를 출력","1: 자체 지식만으로 1턴 만에 코드가 생성되었으며 실행 결과가 정확함
0.8: 외부 지식을 참고해 1턴 만에 코드가 생성되었으며 실행 결과가 정확함
0.6: 자체 지식만으로 1턴 만에 코드가 생성되었으며 실행 결과에 오류가 있으나, 사용자와의 상호작용을 통해 추가 2턴(총 3턴) 이내에 올바를 결과를 내는 코드를 작성하는 데 성공함
0.5: 외부 자료 없이 3턴 이내에 올바른 코드를 작성하는 데 성공했으나 실행 결과를 틀린 것으로 잘못 보여줌
0.4: 1턴 만에 코드가 생성되었으며 실행 결과에 오류가 있으나, 사용자와의 상호작용을 통해 추가 2턴(총 3턴) 이내에 올바를 결과를 내는 코드를 작성하는 데 성공함. 코드 작성에 외부 지식이나 사용자의 가이드를 활용함.
0: 총 3턴 이내에 올바른 결과를 내는 코드를 생성하는 데 실패.",2,
21,"두 자리 자연수 중에서 십의 자리 수가 일의 자리 수보다 크고, 두 자리 수의 각 자릿수의 합이 9인 수는 모두 몇 개인가?

1. 코딩 없이 수학적인 풀이 과정만으로 답을 구하시오.
2. 컴퓨터 프로그램을 작성하여 그 개수를 출력하시오. 코드 인터프리터로 실행 가능한 언어가 있다면 해당 언어를 사용하고, 실행 가능한 환경이 없다면 Python 언어를 사용해 코드를 작성하시오.",쉬운 문제로 일반적인 코딩 능력을 평가(2025. 10. 4. 추가),"올바른 풀이 과정으로 54, 63, 72, 81, 90이 조건에 맞으므로 5가 답이라고 답변하고, 코드를 작성해 실제로 실행한 결과도 일치.","1: 올바른 풀이 과정으로 답을 맞히고, 실제 코드를 실행해서 얻은 답이 일치.
0.8: 풀이 과정, 답, 코드가 올바르지만 코드를 실행하지 않음.
0.6: 풀이 과정이 올바르고 코드와 일치하지만, 답을 잘못 예상함.
0.4: 풀이 과정이 대체로 옳지만 답을 맞히지 못함.
0.3: 풀이 과정이 대체로 옳고 코드도 옳지만, 코드 인터프리터를 사용하지 않거나 사용할 수 없음.
0.2: 풀이 과정은 맞지만 코드를 잘못 작성해서 실행되지 않거나 오답을 출력.
0.1: 풀이 과정이 잘못됨.
0: 문제 의도에 맞게 답하지 못함.",2,
22,"`1 + 1`을 코드 인터프리터를 사용해서 계산하고 그 결과를 출력하라. 코드 인터프리터에 접근할 수 없는 경우 ""실행 불가""라고 답해라.",도구 사용 능력만 따로 평가(2025. 10. 5.),코드 인터프리터에서 계산 후 결괏값을 그대로 답변,"1: 코드 인터프리터를 실행해 올바른 계산 결과를 답변
0.7: 처음에 '실행 불가'로 답변하지만, 실제로는 코드 실행 능력이 있으며 후속 대화에서 올바른 계산 결과를 답변.
0: 도구 사용이 불가하여 ""실행 불가""라고 답변
0: 도구 사용이 불가하지만 ""실행 불가""라고 답하지 않고, 코드 인터프리터를 사용할 수 없다고 답변(예: ""저는 코드 인터프리터를 사용할 수 없습니다."")
0: 코드 인터프리터를 사용한 후 사용자에게 답변을 하지 않음
0: 코드 인터프리터가 아닌 다른 도구(예: 인터넷)를 사용
0: 코드 인터프리터에 접근할 수 없음에도 실제로 계산한 것처럼 거짓 답변
0: 코드 인터프리터를 사용했음에도 틀린 결과를 답변",1,
