42dot_LLM,
문화맥락,0.34
지식정확성,0.23
추론,0.17
정보검색,0.19
형식준수,0.30
번역,0.64
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
Meta-Llama-3-70B-Instruct (시스템 프롬프트 사용),
스킬,값
언어유창성,0.34
문법,0.25
담화조절,0.92
문화맥락,0.61
지식정확성,0.38
추론,0.26
정보검색,0.22
형식준수,0.29
번역,0.65
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
ChatGPT 4o,
스킬,값
언어유창성,0.72
문법,0.25
담화조절,1.00
문화맥락,0.75
지식정확성,0.69
추론,0.35
정보검색,0.60
형식준수,0.78
번역,1.00
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
Meta-Llama-3-8B-Instruct-GGUF,
스킬,값
언어유창성,0.32
문법,0.09
담화조절,0.08
문화맥락,0.34
지식정확성,0.08
추론,0.13
정보검색,0.05
형식준수,0.18
번역,0.26
방언,0.90
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
Phi 4 (Q4),
스킬,값
언어유창성,0.28
문법,0.25
담화조절,0.47
문화맥락,0.35
지식정확성,0.44
추론,0.35
정보검색,0.22
형식준수,0.22
번역,0.47
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
Gemini 1.5 Pro,
스킬,값
언어유창성,0.77
문법,0.25
담화조절,1.00
문화맥락,0.99
지식정확성,0.56
추론,0.22
정보검색,0.60
형식준수,0.73
번역,0.73
방언,0.95
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
Phi 4 (FP16),
스킬,값
언어유창성,0.27
문법,0.40
담화조절,0.33
문화맥락,0.21
지식정확성,0.41
추론,0.29
정보검색,0.22
형식준수,0.23
번역,0.47
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
ChatGPT o1-mini,
스킬,값
언어유창성,0.51
문법,0.25
담화조절,0.68
문화맥락,0.52
지식정확성,0.54
추론,0.39
정보검색,0.22
형식준수,0.78
번역,0.47
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
ChatGPT 4o mini,
스킬,값
언어유창성,0.47
문법,0.25
담화조절,1.00
문화맥락,0.43
지식정확성,0.77
추론,0.50
정보검색,0.60
형식준수,0.80
번역,0.73
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
Qwen2.5-14B-Instruct-GGUF,
스킬,값
언어유창성,0.43
문법,0.74
담화조절,0.98
문화맥락,0.34
지식정확성,0.38
추론,0.24
정보검색,0.22
형식준수,0.45
번역,0.55
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
DeepSeek-R1-Distill-Qwen-14B-GGUF,
스킬,값
언어유창성,0.35
문법,0.82
담화조절,0.47
문화맥락,0.38
지식정확성,0.37
추론,0.24
정보검색,0.22
형식준수,0.13
번역,0.32
방언,0.86
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
DeepSeek-V3,
스킬,값
언어유창성,0.56
문법,0.25
담화조절,1.00
문화맥락,0.75
지식정확성,0.35
추론,0.35
정보검색,0.22
형식준수,0.27
번역,1.00
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
Gemini 2.0 Flash Experimental,
스킬,값
언어유창성,0.74
문법,0.82
담화조절,1.00
문화맥락,0.67
지식정확성,0.42
추론,0.50
정보검색,0.18
형식준수,0.68
번역,0.65
방언,0.95
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
Claude 3.5 Sonnet,
스킬,값
언어유창성,0.69
문법,0.82
담화조절,1.00
문화맥락,0.75
지식정확성,0.69
추론,0.65
정보검색,0.22
형식준수,0.67
번역,1.00
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
EXAONE-3.5-7.8B-Instruct-GGUF,
스킬,값
언어유창성,0.39
문법,0.37
담화조절,0.65
문화맥락,0.40
지식정확성,0.34
추론,0.22
정보검색,0.22
형식준수,0.25
번역,0.72
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
ChatGPT o3-mini,
스킬,값
언어유창성,0.56
문법,0.20
담화조절,0.93
문화맥락,0.52
지식정확성,0.70
추론,0.68
정보검색,0.22
형식준수,0.87
번역,1.00
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
Gemini 2.0 Flash,
스킬,값
언어유창성,0.71
문법,0.25
담화조절,0.70
문화맥락,0.98
지식정확성,0.69
추론,0.35
정보검색,0.60
형식준수,0.58
번역,0.73
방언,0.93
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
Solar-Pro,
스킬,값
언어유창성,0.33
문법,0.96
담화조절,1.00
문화맥락,0.20
지식정확성,0.36
추론,0.37
정보검색,0.22
형식준수,0.21
번역,0.73
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
DeepSeek DeepThink (R1),
스킬,값
언어유창성,0.00
문법,0.00
담화조절,0.18
문화맥락,0.00
지식정확성,0.00
추론,0.00
정보검색,0.00
형식준수,0.00
번역,0.00
방언,0.00
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
Llama-3.3-70B-Instruct,
스킬,값
언어유창성,0.37
문법,0.05
담화조절,0.62
문화맥락,0.41
지식정확성,0.54
추론,0.56
정보검색,0.22
형식준수,0.52
번역,0.65
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
Microsoft Copilot,
스킬,값
언어유창성,0.33
문법,0.25
담화조절,1.00
문화맥락,0.43
지식정확성,0.56
추론,0.22
정보검색,0.60
형식준수,0.42
번역,0.62
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
aya-expanse-8b-GGUF,
스킬,값
언어유창성,0.44
문법,0.62
담화조절,0.50
문화맥락,0.55
지식정확성,0.44
추론,0.36
정보검색,0.22
형식준수,0.24
번역,0.47
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
Grok 2,
스킬,값
언어유창성,0.41
문법,0.25
담화조절,1.00
문화맥락,0.55
지식정확성,0.80
추론,0.65
정보검색,0.60
형식준수,0.60
번역,0.73
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
Grok 3,
스킬,값
언어유창성,0.52
문법,0.52
담화조절,1.00
문화맥락,0.40
지식정확성,0.63
추론,0.49
정보검색,0.58
형식준수,0.55
번역,1.00
방언,0.08
코딩,0.46
도구사용,0.57
안전성,
,
,
,
,
,
,
DeepSeek R1 Distill (Qwen 7B),
스킬,값
언어유창성,0.13
문법,0.03
담화조절,0.00
문화맥락,0.10
지식정확성,0.10
추론,0.04
정보검색,0.18
형식준수,0.13
번역,0.00
방언,0.00
코딩,0.00
도구사용,0.00
안전성,
,
,
,
,
,
,
Claude 3.7 Sonnet,
스킬,값
언어유창성,0.72
문법,0.92
담화조절,0.95
문화맥락,0.75
지식정확성,0.69
추론,0.65
정보검색,0.22
형식준수,0.66
번역,1.00
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
ChatGPT 4.5,
스킬,값
언어유창성,0.98
문법,0.96
담화조절,1.00
문화맥락,1.00
지식정확성,0.87
추론,0.68
정보검색,0.60
형식준수,0.99
번역,1.00
방언,1.00
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
gemma-3-27b-it@q3_k_l,
스킬,값
언어유창성,0.53
문법,0.25
담화조절,1.00
문화맥락,0.43
지식정확성,0.28
추론,0.35
정보검색,0.05
형식준수,0.50
번역,1.00
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
gemma-3-27b-it@q4_k_m,
스킬,값
언어유창성,0.79
문법,0.82
담화조절,1.00
문화맥락,0.72
지식정확성,0.44
추론,0.35
정보검색,0.22
형식준수,0.60
번역,1.00
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
gemma-3-27b-it@q6_k,
스킬,값
언어유창성,0.64
문법,0.25
담화조절,1.00
문화맥락,0.66
지식정확성,0.28
추론,0.35
정보검색,0.05
형식준수,0.50
번역,1.00
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
ChatGPT o4-mini,
스킬,값
언어유창성,0.65
문법,0.20
담화조절,0.92
문화맥락,0.75
지식정확성,0.83
추론,0.66
정보검색,0.59
형식준수,0.93
번역,0.70
방언,0.08
코딩,1.00
도구사용,
안전성,
,
,
,
,
,
,
HyperCLOVAX-SEED-Text-Instruct-1.5B-gguf-bf16,
스킬,값
언어유창성,0.47
문법,0.11
담화조절,0.43
문화맥락,0.44
지식정확성,0.25
추론,0.30
정보검색,0.05
형식준수,0.50
번역,0.41
방언,0.00
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
Qwen3-32B-GGUF,
스킬,값
언어유창성,0.55
문법,0.82
담화조절,0.68
문화맥락,0.49
지식정확성,0.62
추론,0.68
정보검색,0.22
형식준수,0.54
번역,0.74
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
Solar Pro2 Preview,
스킬,값
언어유창성,0.42
문법,0.82
담화조절,1.00
문화맥락,0.12
지식정확성,0.52
추론,0.35
정보검색,0.22
형식준수,0.62
번역,0.73
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
ChatGPT 4.1,
스킬,값
언어유창성,0.57
문법,0.25
담화조절,1.00
문화맥락,0.43
지식정확성,0.69
추론,0.35
정보검색,0.60
형식준수,0.78
번역,1.00
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
Qwen3 8B,
스킬,값
언어유창성,0.40
문법,0.79
담화조절,0.61
문화맥락,0.26
지식정확성,0.37
추론,0.47
정보검색,0.22
형식준수,0.50
번역,0.39
방언,0.08
코딩,0.53
도구사용,1.00
안전성,
,
,
,
,
,
,
A.X-4.0-Light-gguf,
스킬,값
언어유창성,0.30
문법,0.13
담화조절,0.41
문화맥락,0.33
지식정확성,0.20
추론,0.20
정보검색,0.22
형식준수,0.22
번역,0.38
방언,0.08
코딩,0.16
도구사용,0.00
안전성,
,
,
,
,
,
,
gpt-oss-20b,
스킬,값
언어유창성,0.48
문법,0.23
담화조절,0.64
문화맥락,0.59
지식정확성,0.46
추론,0.32
정보검색,0.22
형식준수,0.64
번역,0.34
방언,0.08
코딩,0.87
도구사용,1.00
안전성,
,
,
,
,
,
,
GPT-OSS-120B-T,
스킬,값
언어유창성,0.65
문법,0.74
담화조절,1.00
문화맥락,0.52
지식정확성,0.60
추론,0.24
정보검색,0.57
형식준수,0.61
번역,1.00
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
Gemini 2.5 Pro,
스킬,값
언어유창성,1.00
문법,1.00
담화조절,1.00
문화맥락,1.00
지식정확성,1.00
추론,0.94
정보검색,1.00
형식준수,0.98
번역,1.00
방언,1.00
코딩,0.79
도구사용,0.57
안전성,
,
,
,
,
,
,
GPT-5,
스킬,값
언어유창성,0.68
문법,1.00
담화조절,1.00
문화맥락,0.43
지식정확성,0.83
추론,0.68
정보검색,0.59
형식준수,0.97
번역,0.70
방언,0.08
코딩,0.86
도구사용,0.43
안전성,
,
,
,
,
,
,
Claude Sonnet 4,
스킬,값
언어유창성,0.78
문법,0.75
담화조절,0.95
문화맥락,0.75
지식정확성,0.85
추론,0.72
정보검색,0.59
형식준수,0.99
번역,0.70
방언,0.08
코딩,0.99
도구사용,1.00
안전성,
,
,
,
,
,
,
Claude Opus 4.1,
스킬,값
언어유창성,0.74
문법,0.68
담화조절,0.95
문화맥락,0.75
지식정확성,0.67
추론,0.68
정보검색,0.16
형식준수,0.80
번역,1.00
방언,0.08
코딩,0.94
도구사용,0.00
안전성,
,
,
,
,
,
,
A.X 4.0,
스킬,값
언어유창성,0.42
문법,0.26
담화조절,0.79
문화맥락,0.51
지식정확성,0.38
추론,0.41
정보검색,0.22
형식준수,0.56
번역,0.70
방언,0.08
코딩,0.00
도구사용,0.00
안전성,
,
,
,
,
,
,
EXAONE-4.0.1-32B,
스킬,값
언어유창성,0.63
문법,0.79
담화조절,0.68
문화맥락,0.52
지식정확성,0.43
추론,0.60
정보검색,0.22
형식준수,0.57
번역,0.75
방언,0.08
코딩,0.11
도구사용,0.00
안전성,
,
,
,
,
,
,
Gemma 3 1B,
스킬,값
언어유창성,0.40
문법,0.17
담화조절,0.35
문화맥락,0.46
지식정확성,0.23
추론,0.28
정보검색,0.05
형식준수,0.44
번역,0.32
방언,0.00
코딩,0.00
도구사용,0.00
안전성,
,
,
,
,
,
,
Grok 4 Fast,
스킬,값
언어유창성,0.57
문법,0.94
담화조절,1.00
문화맥락,0.41
지식정확성,0.69
추론,0.51
정보검색,0.59
형식준수,0.78
번역,0.70
방언,0.00
코딩,0.99
도구사용,1.00
안전성,
,
,
,
,
,
,
Grok 4,
스킬,값
언어유창성,0.91
문법,0.88
담화조절,0.92
문화맥락,0.97
지식정확성,0.73
추론,0.58
정보검색,0.59
형식준수,0.92
번역,0.70
방언,0.91
코딩,0.99
도구사용,1.00
안전성,
,
,
,
,
,
Gemini 3.0 Pro (Thinking),
스킬,값
언어유창성,1.00
문법,1.00
담화조절,1.00
문화맥락,1.00
지식정확성,1.00
추론,1.00
정보검색,1.00
형식준수,1.00
번역,1.00
방언,1.00
코딩,0.89
도구사용,0.57
안전성,
