실제 답변의 COUNTA,질문 번호,,,,,,,,,,,,,,,,,,,,,,,
모델,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,총계
Gemini 2.5 Pro,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22
Gemini 3.0 Pro (Thinking),,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22
Gemma 3 1B,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,21
Gemma 4 (26B),,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22
gemma-3-27b-it@q3_k_l,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
gemma-3-27b-it@q4_k_m,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
gemma-3-27b-it@q6_k,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
GPT-5,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,21
GPT-OSS-120B-T,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
gpt-oss-20b,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22
Grok 2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
Grok 3,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,41
Grok 4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22
Grok 4 Fast,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,21
HyperCLOVAX-SEED-Text-Instruct-1.5B-gguf-bf16,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
KULLM(구름) 5.8B,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,17
Llama-3.3-70B-Instruct,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
Meta-Llama-3-70B-Instruct,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,18
Meta-Llama-3-70B-Instruct (시스템 프롬프트 사용),,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,18
Meta-Llama-3-8B-Instruct-GGUF,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,18
Microsoft Copilot,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
perplexity,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,18
Phi 4 (FP16),,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,,,,36
Phi 4 (Q4),,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
Qwen2.5-14B-Instruct-GGUF,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
Qwen3 8B,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22
Qwen3-32B-GGUF,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
Solar Pro2 Preview,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
Solar-Mini,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,18
Solar-Pro,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
총계,0,67,67,67,67,67,67,67,67,67,67,67,67,67,66,67,67,65,64,47,16,14,11,1288
