모델명,언어유창성,문법,담화조절,문화맥락,지식정확성,추론,정보검색,형식준수,번역,방언,코딩,도구사용,안전성
DeepSeek DeepThink (R1),0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Llama-3.3-70B-Instruct,0.36,0.06,0.60,0.40,0.54,0.60,0.22,0.52,0.63,0.08,0.00,0.00,
Microsoft Copilot,0.33,0.26,1.00,0.43,0.56,0.26,0.59,0.42,0.61,0.08,0.00,0.00,
aya-expanse-8b-GGUF,0.43,0.58,0.50,0.54,0.44,0.40,0.22,0.24,0.45,0.08,0.00,0.00,
Grok 2,0.40,0.26,1.00,0.54,0.76,0.69,0.59,0.60,0.70,0.08,0.00,0.00,
Grok 3,0.52,0.52,1.00,0.40,0.63,0.49,0.58,0.55,1.00,0.08,0.46,0.57,
DeepSeek R1 Distill (Qwen 7B),0.13,0.03,0.00,0.10,0.10,0.04,0.18,0.13,0.00,0.00,0.00,0.00,
Claude 3.7 Sonnet,0.72,0.90,0.95,0.75,0.66,0.69,0.22,0.66,1.00,0.08,0.00,0.00,
ChatGPT 4.5,0.98,0.94,1.00,1.00,0.84,0.72,0.59,0.99,1.00,1.00,0.00,0.00,
gemma-3-27b-it@q3_k_l,0.53,0.26,1.00,0.43,0.28,0.39,0.05,0.51,1.00,0.08,0.00,0.00,
gemma-3-27b-it@q4_k_m,0.78,0.79,1.00,0.71,0.44,0.39,0.22,0.63,1.00,0.08,0.00,0.00,
gemma-3-27b-it@q6_k,0.64,0.26,1.00,0.66,0.28,0.39,0.05,0.51,1.00,0.08,0.00,0.00,
ChatGPT o4-mini,0.65,0.20,0.92,0.75,0.83,0.66,0.59,0.93,0.70,0.08,1.00,0.00,
HyperCLOVAX-SEED-Text-Instruct-1.5B-gguf-bf16,0.45,0.10,0.43,0.43,0.24,0.32,0.04,0.51,0.39,0.00,0.00,0.00,
Qwen3-32B-GGUF,0.53,0.79,0.68,0.48,0.61,0.72,0.22,0.55,0.75,0.08,0.00,0.00,
Solar Pro2 Preview,0.41,0.79,1.00,0.12,0.52,0.39,0.22,0.63,0.70,0.08,0.00,0.00,
ChatGPT 4.1,0.57,0.26,1.00,0.43,0.67,0.39,0.59,0.79,1.00,0.08,0.00,0.00,
Qwen3 8B,0.40,0.79,0.61,0.26,0.37,0.47,0.22,0.50,0.39,0.08,0.53,1.00,
A.X-4.0-Light-gguf,0.30,0.13,0.41,0.33,0.20,0.20,0.22,0.22,0.38,0.08,0.16,0.00,
gpt-oss-20b,0.48,0.23,0.64,0.59,0.46,0.32,0.22,0.64,0.34,0.08,0.87,1.00,
GPT-OSS-120B-T,0.63,0.71,1.00,0.53,0.60,0.28,0.56,0.62,1.00,0.08,0.00,0.00,
Gemini 2.5 Pro,1.00,1.00,1.00,1.00,1.00,0.94,1.00,0.98,1.00,1.00,0.79,0.57,
GPT-5,0.68,1.00,1.00,0.43,0.83,0.68,0.59,0.97,0.70,0.08,0.86,0.43,
Claude Sonnet 4,0.78,0.75,0.95,0.75,0.85,0.72,0.59,0.99,0.70,0.08,0.99,1.00,
Claude Opus 4.1,0.74,0.68,0.95,0.75,0.67,0.68,0.16,0.80,1.00,0.08,0.94,0.00,
A.X 4.0,0.42,0.26,0.79,0.51,0.38,0.41,0.22,0.56,0.70,0.08,0.00,0.00,
EXAONE-4.0.1-32B,0.63,0.79,0.68,0.52,0.43,0.60,0.22,0.57,0.75,0.08,0.11,0.00,
Gemma 3 1B,0.40,0.17,0.35,0.46,0.23,0.28,0.05,0.44,0.32,0.00,0.00,0.00,
Grok 4 Fast,0.57,0.94,1.00,0.41,0.69,0.51,0.59,0.78,0.70,0.00,0.99,1.00,
Grok 4,0.91,0.88,0.92,0.97,0.73,0.58,0.59,0.92,0.70,0.91,0.99,1.00,
Gemini 3.0 Pro (Thinking),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.89,0.57,
Gemma 4 (26B),-0.03,0.00,-0.05,0.00,-0.08,-0.17,0.00,-0.21,0.00,0.00,0.00,0.00,
